article,url,dates,rows,columns,cells,numeric_ratio,popularity,f1_score
2022–23 Bangladesh Championship League,https://en.wikipedia.org/wiki/2022%E2%80%9323_Bangladesh_Championship_League,{},11,2,22,0.0,227,0.4090909090909091
2022–23 Horizon League men's basketball season,https://en.wikipedia.org/wiki/2022%E2%80%9323_Horizon_League_men%27s_basketball_season,{},17,3,51,0.3333333333333333,32,0.38383838383838387
2022–23 Saudi Pro League,https://en.wikipedia.org/wiki/2022%E2%80%9323_Saudi_Pro_League,{},31,4,124,0.75,8037,0.5081967213114755
2022 A-League Men Grand Final,https://en.wikipedia.org/wiki/2022_A-League_Men_Grand_Final,{},10,3,30,0.0,558,0.41666666666666663
2022 AFC Champions League final,https://en.wikipedia.org/wiki/2022_AFC_Champions_League_final,{},11,3,33,0.0,1371,0.41025641025641024
2022 CAF Champions League final,https://en.wikipedia.org/wiki/2022_CAF_Champions_League_final,{},8,3,24,0.0,261,0.2564102564102564
2022 FIFA Club World Cup final,https://en.wikipedia.org/wiki/2022_FIFA_Club_World_Cup_final,{},10,3,30,0.0,2937,0.2708333333333333
2022 Korn Ferry Tour,https://en.wikipedia.org/wiki/2022_Korn_Ferry_Tour,{'Date': '%b %d'},26,6,156,0.3333333333333333,207,0.9615384615384616
2022 Philippine general election,https://en.wikipedia.org/wiki/2022_Philippine_general_election,{},21,3,63,0.0,5614,0.10526315789473684
2022 Pro Golf Tour,https://en.wikipedia.org/wiki/2022_Pro_Golf_Tour,{},10,4,40,0.5,21,0.15
2022 UEFA Champions League final,https://en.wikipedia.org/wiki/2022_UEFA_Champions_League_final,{},10,3,30,0.0,28641,0.2888888888888889
2022 UEFA Women's Champions League final,https://en.wikipedia.org/wiki/2022_UEFA_Women%27s_Champions_League_final,{},10,3,30,0.0,1323,0.3010752688172043
2023–24 Bangladesh Championship League,https://en.wikipedia.org/wiki/2023%E2%80%9324_Bangladesh_Championship_League,{},66,4,264,0.25,758,0.029069767441860468
2023–24 Bangladesh Premier League (football),https://en.wikipedia.org/wiki/2023%E2%80%9324_Bangladesh_Premier_League_(football),{},9,4,36,0.25,2588,0.35714285714285715
2023–24 Horizon League men's basketball season,https://en.wikipedia.org/wiki/2023%E2%80%9324_Horizon_League_men%27s_basketball_season,{},11,7,77,0.8571428571428571,85,0.23376623376623376
2023–24 Saudi Pro League,https://en.wikipedia.org/wiki/2023%E2%80%9324_Saudi_Pro_League,{},35,4,140,0.75,38650,0.5072463768115941
2023 A-League Men Grand Final,https://en.wikipedia.org/wiki/2023_A-League_Men_Grand_Final,{},10,3,30,0.0,1496,0.37037037037037035
2023 CAF Champions League final,https://en.wikipedia.org/wiki/2023_CAF_Champions_League_final,{},10,3,30,0.0,931,0.303030303030303
2023 Japan Football League,https://en.wikipedia.org/wiki/2023_Japan_Football_League,{},15,4,60,0.0,682,0.4000000000000001
2023 Rugby World Cup statistics,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_statistics,{},10,4,40,0.5,3665,0.22000000000000003
2023 Suncorp Super Netball season,https://en.wikipedia.org/wiki/2023_Suncorp_Super_Netball_season,{},14,8,112,0.0,751,0.33035714285714285
2023 UEFA Champions League final,https://en.wikipedia.org/wiki/2023_UEFA_Champions_League_final,{},10,3,30,0.0,41021,0.29885057471264365
2023 UEFA Europa League final,https://en.wikipedia.org/wiki/2023_UEFA_Europa_League_final,{},10,3,30,0.0,11221,0.2857142857142857
2024 A-League Men Grand Final,https://en.wikipedia.org/wiki/2024_A-League_Men_Grand_Final,{},10,3,30,0.0,1523,0.20202020202020202
2024 Major League Baseball draft,https://en.wikipedia.org/wiki/2024_Major_League_Baseball_draft,{},30,5,150,0.2,18986,0.47333333333333333
2024 Suncorp Super Netball season,https://en.wikipedia.org/wiki/2024_Suncorp_Super_Netball_season,{},35,3,105,0.0,843,0.4055555555555555
2024 UEFA Europa League final,https://en.wikipedia.org/wiki/2024_UEFA_Europa_League_final,{},10,3,30,0.0,16973,0.33333333333333337
20th Louisiana Infantry Regiment,https://en.wikipedia.org/wiki/20th_Louisiana_Infantry_Regiment,{},12,4,48,0.0,63,0.22727272727272727
33rd Alabama Infantry Regiment,https://en.wikipedia.org/wiki/33rd_Alabama_Infantry_Regiment,{},10,5,50,0.0,303,0.34
6-Diazo-5-oxo-L-norleucine,https://en.wikipedia.org/wiki/6-Diazo-5-oxo-L-norleucine,{},8,2,16,0.0,663,0.15
"6th Battalion, Royal Australian Regiment","https://en.wikipedia.org/wiki/6th_Battalion,_Royal_Australian_Regiment","{'Date commenced': '%B %Y', 'Date ended': '%B %Y'}",28,3,84,0.0,1867,0.03448275862068965
AACTA Award for Best Documentary Series,https://en.wikipedia.org/wiki/AACTA_Award_for_Best_Documentary_Series,{},8,4,32,0.25,20,0.3333333333333333
AACTA Award for Best Feature Length Documentary,https://en.wikipedia.org/wiki/AACTA_Award_for_Best_Feature_Length_Documentary,{},30,3,90,0.3333333333333333,70,0.3603603603603604
AEX index,https://en.wikipedia.org/wiki/AEX_index,{},25,4,100,0.25,2582,0.58
AFI Members' Choice Award,https://en.wikipedia.org/wiki/AFI_Members%27_Choice_Award,{},18,3,54,0.3333333333333333,22,0.7037037037037037
AGM-45 Shrike,https://en.wikipedia.org/wiki/AGM-45_Shrike,{},11,4,44,0.0,5728,0.08
ARIA Achievement Awards,https://en.wikipedia.org/wiki/ARIA_Achievement_Awards,{},14,2,28,0.5,76,0.22222222222222224
ARIA Award for Best Female Artist,https://en.wikipedia.org/wiki/ARIA_Award_for_Best_Female_Artist,{},8,2,16,0.5,120,0.7647058823529411
ARIA Award for Best Male Artist,https://en.wikipedia.org/wiki/ARIA_Award_for_Best_Male_Artist,{},36,2,72,0.5,82,0.39772727272727276
ARIA Award for Best Music DVD,https://en.wikipedia.org/wiki/ARIA_Award_for_Best_Music_DVD,{},48,3,144,0.3333333333333333,22,0.09523809523809525
ARIA Award for Best New Talent,https://en.wikipedia.org/wiki/ARIA_Award_for_Best_New_Talent,{},72,3,216,0.3333333333333333,34,0.09523809523809525
ARIA Award for Best Rock Album,https://en.wikipedia.org/wiki/ARIA_Award_for_Best_Rock_Album,{},162,3,486,0.3333333333333333,183,0.24598930481283418
ARIA Award for Best Urban Album,https://en.wikipedia.org/wiki/ARIA_Award_for_Best_Urban_Album,{},48,3,144,0.3333333333333333,35,0.09523809523809525
ARIA Award for Producer of the Year,https://en.wikipedia.org/wiki/ARIA_Award_for_Producer_of_the_Year,{},239,3,717,0.3333333333333333,74,0.08242424242424243
ARIA Award for Single of the Year,https://en.wikipedia.org/wiki/ARIA_Award_for_Single_of_the_Year,{},147,3,441,0.3333333333333333,331,0.09689922480620156
ASEAN PGA Tour,https://en.wikipedia.org/wiki/ASEAN_PGA_Tour,{},9,3,27,0.6666666666666666,56,0.4
A Shot at Love II with Tila Tequila,https://en.wikipedia.org/wiki/A_Shot_at_Love_II_with_Tila_Tequila,{},12,3,36,0.0,651,0.17391304347826086
Abaqulusi Local Municipality,https://en.wikipedia.org/wiki/Abaqulusi_Local_Municipality,{},15,4,60,0.75,388,0.3863636363636363
Aboriginal Tasmanians,https://en.wikipedia.org/wiki/Aboriginal_Tasmanians,{},10,4,40,0.75,14865,0.25
Academy Award for Best Actress,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Actress,{},15,3,45,0.6666666666666666,106781,0.9195402298850575
Academy Award for Best Director,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Director,{},50,3,150,0.3333333333333333,36986,0.98
Aconitine,https://en.wikipedia.org/wiki/Aconitine,{},22,5,110,0.2,6722,0.23529411764705885
"Ada, Serbia","https://en.wikipedia.org/wiki/Ada,_Serbia",{},21,2,42,0.5,459,0.4390243902439024
Administrative distance,https://en.wikipedia.org/wiki/Administrative_distance,{},21,2,42,0.5,2829,0.08333333333333333
Administrative divisions of Uttar Pradesh,https://en.wikipedia.org/wiki/Administrative_divisions_of_Uttar_Pradesh,{},47,4,188,0.0,4987,0.02777777777777778
"Aesch, Lucerne","https://en.wikipedia.org/wiki/Aesch,_Lucerne",{},9,2,18,0.5,60,0.23076923076923075
Afro-Asian Club Championship,https://en.wikipedia.org/wiki/Afro-Asian_Club_Championship,{},11,3,33,0.6666666666666666,1144,1.0
Ahtahkakoop Cree Nation,https://en.wikipedia.org/wiki/Ahtahkakoop_Cree_Nation,"{'Appointment Date': '%m/%d/%Y', 'Expiry Date': '%m/%d/%Y'}",13,5,65,0.0,263,0.23636363636363636
Aircraft carrier operations during World War II,https://en.wikipedia.org/wiki/Aircraft_carrier_operations_during_World_War_II,{},17,6,102,0.3333333333333333,2505,0.07692307692307691
Airolo,https://en.wikipedia.org/wiki/Airolo,{},8,2,16,0.5,839,0.2142857142857143
Albert Luthuli Local Municipality,https://en.wikipedia.org/wiki/Albert_Luthuli_Local_Municipality,{},22,5,110,0.6,302,0.18461538461538463
Aleksandrovac,https://en.wikipedia.org/wiki/Aleksandrovac,{},21,2,42,0.5,436,0.47500000000000003
Aleksinac,https://en.wikipedia.org/wiki/Aleksinac,{},17,3,51,0.3333333333333333,725,0.3137254901960784
Alternative Investment Market,https://en.wikipedia.org/wiki/Alternative_Investment_Market,{},100,2,200,0.0,2743,0.2982456140350877
"Amador County, California","https://en.wikipedia.org/wiki/Amador_County,_California",{},9,7,63,0.42857142857142855,3197,0.12698412698412698
Amahlathi Local Municipality,https://en.wikipedia.org/wiki/Amahlathi_Local_Municipality,{},27,4,108,0.75,207,0.08928571428571429
Amlikon-Bissegg,https://en.wikipedia.org/wiki/Amlikon-Bissegg,{},9,4,36,0.0,49,0.2692307692307693
Amriswil,https://en.wikipedia.org/wiki/Amriswil,{},8,2,16,0.5,242,0.225
Ancestral reconstruction,https://en.wikipedia.org/wiki/Ancestral_reconstruction,{},26,7,182,0.0,449,0.04545454545454546
Angola national under-17 football team,https://en.wikipedia.org/wiki/Angola_national_under-17_football_team,{},20,10,200,0.1,223,0.655
Anti-BDS laws,https://en.wikipedia.org/wiki/Anti-BDS_laws,{},31,5,155,0.0,20728,0.5833333333333334
Antipodes Islands,https://en.wikipedia.org/wiki/Antipodes_Islands,{},8,2,16,0.5,3030,0.3333333333333333
Apatin,https://en.wikipedia.org/wiki/Apatin,{},21,2,42,0.5,1025,0.47500000000000003
Appinite,https://en.wikipedia.org/wiki/Appinite,{},10,7,70,0.8571428571428571,105,0.1020408163265306
Apple Music 100 Best Albums,https://en.wikipedia.org/wiki/Apple_Music_100_Best_Albums,{},15,3,45,0.3333333333333333,28125,0.3703703703703704
Apsis,https://en.wikipedia.org/wiki/Apsis,{},11,3,33,0.0,16425,0.39999999999999997
Aranđelovac,https://en.wikipedia.org/wiki/Aran%C4%91elovac,{},21,2,42,0.5,925,0.45
Aran and Bidgol County,https://en.wikipedia.org/wiki/Aran_and_Bidgol_County,{},10,4,40,0.75,70,0.2105263157894737
"Arbus, Sardinia","https://en.wikipedia.org/wiki/Arbus,_Sardinia",{},11,2,22,0.5,184,0.27499999999999997
Ardez,https://en.wikipedia.org/wiki/Ardez,{},9,2,18,0.5,897,0.7647058823529411
Argentina at the 2015 Pan American Games,https://en.wikipedia.org/wiki/Argentina_at_the_2015_Pan_American_Games,{},38,4,152,0.75,47,0.5833333333333334
Argentina at the 2015 Parapan American Games,https://en.wikipedia.org/wiki/Argentina_at_the_2015_Parapan_American_Games,{},15,4,60,0.75,9,0.5517241379310344
Arilje,https://en.wikipedia.org/wiki/Arilje,{},21,2,42,0.5,474,0.4871794871794871
Armenian language,https://en.wikipedia.org/wiki/Armenian_language,{},24,3,72,0.3333333333333333,37216,0.4375
Arvigo,https://en.wikipedia.org/wiki/Arvigo,{},11,2,22,0.5,45,0.4210526315789474
Ascona,https://en.wikipedia.org/wiki/Ascona,{},10,2,20,0.5,1421,0.3939393939393939
Asian Cup Winners' Cup,https://en.wikipedia.org/wiki/Asian_Cup_Winners%27_Cup,{},9,4,36,0.75,2371,1.0
Astara County,https://en.wikipedia.org/wiki/Astara_County,{},9,4,36,0.75,151,0.1111111111111111
Astrological sign,https://en.wikipedia.org/wiki/Astrological_sign,{},12,6,72,0.0,107463,0.8194444444444444
"Atlanta campaign order of battle: First phase, Confederate","https://en.wikipedia.org/wiki/Atlanta_campaign_order_of_battle:_First_phase,_Confederate",{},19,3,57,0.0,232,0.09375000000000001
"Atlanta campaign order of battle: First phase, Union","https://en.wikipedia.org/wiki/Atlanta_campaign_order_of_battle:_First_phase,_Union",{},13,7,91,0.7142857142857143,287,0.2987012987012987
"Atlanta campaign order of battle: Second phase, Confederate","https://en.wikipedia.org/wiki/Atlanta_campaign_order_of_battle:_Second_phase,_Confederate",{},18,3,54,0.0,54,0.02150537634408602
"Atlanta campaign order of battle: Second phase, Union","https://en.wikipedia.org/wiki/Atlanta_campaign_order_of_battle:_Second_phase,_Union",{},13,7,91,0.7142857142857143,52,0.28571428571428575
Atlantic slave trade,https://en.wikipedia.org/wiki/Atlantic_slave_trade,{},11,9,99,0.8888888888888888,61591,0.1904761904761905
Auckland Islands,https://en.wikipedia.org/wiki/Auckland_Islands,{},32,2,64,0.5,7356,0.39999999999999997
Aude,https://en.wikipedia.org/wiki/Aude,{},9,5,45,0.6,2650,0.12307692307692307
Aurealis Award for Best Children's Fiction,https://en.wikipedia.org/wiki/Aurealis_Award_for_Best_Children%27s_Fiction,{},59,4,236,0.25,17,0.10714285714285714
Aurealis Award for Best Collection,https://en.wikipedia.org/wiki/Aurealis_Award_for_Best_Collection,{},75,4,300,0.25,17,0.253125
Aurealis Award for Best Fantasy Short Story,https://en.wikipedia.org/wiki/Aurealis_Award_for_Best_Fantasy_Short_Story,{},130,4,520,0.25,35,0.08227848101265824
Aurealis Award for Best Horror Novella,https://en.wikipedia.org/wiki/Aurealis_Award_for_Best_Horror_Novella,{},36,4,144,0.25,20,0.07857142857142858
Aurealis Award for Best Illustrated Book or Graphic Novel,https://en.wikipedia.org/wiki/Aurealis_Award_for_Best_Illustrated_Book_or_Graphic_Novel,{},70,4,280,0.25,18,0.1357615894039735
Aurealis Award for Best Young Adult Short Story,https://en.wikipedia.org/wiki/Aurealis_Award_for_Best_Young_Adult_Short_Story,{},110,4,440,0.25,19,0.07476635514018691
Australia at the 2017 Asian Winter Games,https://en.wikipedia.org/wiki/Australia_at_the_2017_Asian_Winter_Games,{},9,4,36,0.75,41,0.47058823529411764
Australia at the 2022 Commonwealth Games,https://en.wikipedia.org/wiki/Australia_at_the_2022_Commonwealth_Games,{},22,4,88,0.75,430,0.358695652173913
Australia women's national field hockey squad records,https://en.wikipedia.org/wiki/Australia_women%27s_national_field_hockey_squad_records,{},8,3,24,0.0,89,0.23809523809523808
Australians,https://en.wikipedia.org/wiki/Australians,{},8,3,24,1.0,16118,0.16666666666666666
Austria at the 2017 Summer Universiade,https://en.wikipedia.org/wiki/Austria_at_the_2017_Summer_Universiade,{},11,4,44,0.75,9,0.41666666666666663
Austronesian personal pronouns,https://en.wikipedia.org/wiki/Austronesian_personal_pronouns,{},11,5,55,0.0,200,0.2888888888888889
Automatisch,https://en.wikipedia.org/wiki/Automatisch,{},11,2,22,0.5,207,0.5
Automotive fuse,https://en.wikipedia.org/wiki/Automotive_fuse,{},13,4,52,0.75,4459,0.06451612903225808
Auxiliary verb,https://en.wikipedia.org/wiki/Auxiliary_verb,{},27,3,81,0.0,9109,0.22522522522522526
Bäretswil,https://en.wikipedia.org/wiki/B%C3%A4retswil,{},10,2,20,0.5,122,0.19444444444444445
"Bürglen, Thurgau","https://en.wikipedia.org/wiki/B%C3%BCrglen,_Thurgau",{},9,2,18,0.5,62,0.2333333333333333
B7 (protein),https://en.wikipedia.org/wiki/B7_(protein),{},10,3,30,0.0,1024,0.5666666666666667
BBC Goal of the Month,https://en.wikipedia.org/wiki/BBC_Goal_of_the_Month,{},40,3,120,0.6666666666666666,710,0.32900432900432897
BBC Goal of the Season,https://en.wikipedia.org/wiki/BBC_Goal_of_the_Season,{},29,3,87,0.6666666666666666,1383,0.7044025157232704
"Bač, Serbia","https://en.wikipedia.org/wiki/Ba%C4%8D,_Serbia",{},20,2,40,0.5,530,0.10256410256410256
Bačka Palanka,https://en.wikipedia.org/wiki/Ba%C4%8Dka_Palanka,{},21,2,42,0.5,1041,0.45
Bački Petrovac,https://en.wikipedia.org/wiki/Ba%C4%8Dki_Petrovac,{},20,2,40,0.5,589,0.10256410256410256
Babušnica,https://en.wikipedia.org/wiki/Babu%C5%A1nica,{},21,2,42,0.5,317,0.47500000000000003
Bad Dürrenberg,https://en.wikipedia.org/wiki/Bad_D%C3%BCrrenberg,{'Year': '%d %B %Y'},7,2,14,1.0,332,0.1875
Bahrain women's national football team results,https://en.wikipedia.org/wiki/Bahrain_women%27s_national_football_team_results,{},26,10,260,0.8,30,0.4339622641509434
Bajestan County,https://en.wikipedia.org/wiki/Bajestan_County,{},9,3,27,0.6666666666666666,45,0.18518518518518517
Bajina Bašta,https://en.wikipedia.org/wiki/Bajina_Ba%C5%A1ta,{},21,2,42,0.5,938,0.45
Bakharz County,https://en.wikipedia.org/wiki/Bakharz_County,{},8,3,24,0.6666666666666666,36,0.25
Banja Luka,https://en.wikipedia.org/wiki/Banja_Luka,{},20,3,60,0.3333333333333333,15157,0.41025641025641024
Baraha,https://en.wikipedia.org/wiki/Baraha,{},4,2,8,0.0,299,0.35714285714285715
Barajevo,https://en.wikipedia.org/wiki/Barajevo,{},21,2,42,0.5,378,0.45
Barbados at the 2015 Pan American Games,https://en.wikipedia.org/wiki/Barbados_at_the_2015_Pan_American_Games,{},11,4,44,0.75,12,0.631578947368421
Barsedth District,https://en.wikipedia.org/wiki/Barsedth_District,{},15,2,30,0.0,58,0.3333333333333333
Basque verbs,https://en.wikipedia.org/wiki/Basque_verbs,{},20,4,80,0.0,980,0.09836065573770492
Bassersdorf,https://en.wikipedia.org/wiki/Bassersdorf,{},10,2,20,0.5,493,0.5416666666666667
Batočina,https://en.wikipedia.org/wiki/Bato%C4%8Dina,{},20,2,40,0.5,177,0.10526315789473685
Bearing (mechanical),https://en.wikipedia.org/wiki/Bearing_(mechanical),{},12,3,36,0.0,14210,0.04761904761904762
Bedretto,https://en.wikipedia.org/wiki/Bedretto,{},12,2,24,0.5,118,0.30952380952380953
Behabad County,https://en.wikipedia.org/wiki/Behabad_County,{},7,3,21,0.6666666666666666,40,0.22222222222222224
Behbahan County,https://en.wikipedia.org/wiki/Behbahan_County,{},17,4,68,0.75,177,0.140625
Bela-Bela Local Municipality,https://en.wikipedia.org/wiki/Bela-Bela_Local_Municipality,{},8,4,32,0.75,280,0.5666666666666667
Bela Palanka,https://en.wikipedia.org/wiki/Bela_Palanka,{},21,2,42,0.5,455,0.45
Beočin,https://en.wikipedia.org/wiki/Beo%C4%8Din,{},20,2,40,0.5,422,0.10256410256410256
Berg am Irchel,https://en.wikipedia.org/wiki/Berg_am_Irchel,{},8,2,16,0.5,43,0.1891891891891892
Bermuda at the 2015 Pan American Games,https://en.wikipedia.org/wiki/Bermuda_at_the_2015_Pan_American_Games,{},8,4,32,0.75,17,0.7142857142857143
Bern University of Applied Sciences,https://en.wikipedia.org/wiki/Bern_University_of_Applied_Sciences,{},17,6,102,0.5,391,0.21212121212121213
Bernoulli number,https://en.wikipedia.org/wiki/Bernoulli_number,{},9,4,36,0.5,9147,0.24000000000000005
Beromünster,https://en.wikipedia.org/wiki/Berom%C3%BCnster,{},8,2,16,0.5,182,0.30769230769230765
Bharat stage emission standards,https://en.wikipedia.org/wiki/Bharat_stage_emission_standards,{},11,2,22,0.5,10974,0.33333333333333326
Biak language,https://en.wikipedia.org/wiki/Biak_language,{},13,6,78,0.0,592,0.15476190476190474
BibDesk,https://en.wikipedia.org/wiki/BibDesk,{},12,2,24,0.0,410,0.16666666666666669
Bichelsee-Balterswil,https://en.wikipedia.org/wiki/Bichelsee-Balterswil,{},8,3,24,0.0,30,0.3333333333333333
Bijar County,https://en.wikipedia.org/wiki/Bijar_County,{},20,4,80,0.75,133,0.08108108108108107
Bileća,https://en.wikipedia.org/wiki/Bile%C4%87a,{},20,2,40,0.5,957,0.4473684210526316
Bimbilla (Ghana parliament constituency),https://en.wikipedia.org/wiki/Bimbilla_(Ghana_parliament_constituency),{},8,3,24,0.3333333333333333,109,0.6666666666666666
Bischofszell,https://en.wikipedia.org/wiki/Bischofszell,{},11,2,22,0.5,213,0.34782608695652173
Blaenau Gwent County Borough Council,https://en.wikipedia.org/wiki/Blaenau_Gwent_County_Borough_Council,{},16,3,48,0.0,227,0.3541666666666667
Blenders Pride,https://en.wikipedia.org/wiki/Blenders_Pride,{},8,2,16,1.0,4734,0.5555555555555556
Blouberg Local Municipality,https://en.wikipedia.org/wiki/Blouberg_Local_Municipality,{},10,5,50,0.6,290,0.075
Board of Fortifications,https://en.wikipedia.org/wiki/Board_of_Fortifications,{},28,7,196,0.2857142857142857,583,0.19285714285714284
Bodio,https://en.wikipedia.org/wiki/Bodio,{},11,2,22,0.5,174,0.3703703703703703
Bogatić,https://en.wikipedia.org/wiki/Bogati%C4%87,{},21,2,42,0.5,431,0.4615384615384615
Bogdanka Coal Mine,https://en.wikipedia.org/wiki/Bogdanka_Coal_Mine,{},8,2,16,1.0,169,0.625
Bojnik,https://en.wikipedia.org/wiki/Bojnik,{},20,2,40,0.5,323,0.10256410256410256
Boljevac,https://en.wikipedia.org/wiki/Boljevac,{},20,2,40,0.5,689,0.10256410256410256
Boolean satisfiability problem,https://en.wikipedia.org/wiki/Boolean_satisfiability_problem,{},10,5,50,0.0,14962,0.30344827586206896
Boot Service Discovery Protocol,https://en.wikipedia.org/wiki/Boot_Service_Discovery_Protocol,{},15,3,45,0.3333333333333333,131,0.23255813953488372
Bounty Islands,https://en.wikipedia.org/wiki/Bounty_Islands,{},23,3,69,0.3333333333333333,1538,0.5666666666666667
Bowl Championship Series,https://en.wikipedia.org/wiki/Bowl_Championship_Series,{},51,6,306,0.3333333333333333,12507,0.861111111111111
Boxing at the Pan American Games,https://en.wikipedia.org/wiki/Boxing_at_the_Pan_American_Games,{},27,6,162,0.8333333333333334,159,0.5266666666666666
Boxing career of Muhammad Ali,https://en.wikipedia.org/wiki/Boxing_career_of_Muhammad_Ali,{},26,7,182,0.14285714285714285,42460,0.1879699248120301
Brütten,https://en.wikipedia.org/wiki/Br%C3%BCtten,{},9,2,18,0.5,76,0.25
Bratunac,https://en.wikipedia.org/wiki/Bratunac,{},20,2,40,0.5,903,0.48717948717948717
Breede Valley Local Municipality elections,https://en.wikipedia.org/wiki/Breede_Valley_Local_Municipality_elections,{},8,6,48,0.8333333333333334,27,0.3076923076923077
"Breno, Ticino","https://en.wikipedia.org/wiki/Breno,_Ticino",{},8,2,16,1.0,34,0.30769230769230765
Brione (Verzasca),https://en.wikipedia.org/wiki/Brione_(Verzasca),{},8,2,16,0.5,131,0.3043478260869565
British Academy Games Award for Artistic Achievement,https://en.wikipedia.org/wiki/British_Academy_Games_Award_for_Artistic_Achievement,{},22,3,66,0.6666666666666666,146,0.37800687285223367
British Academy Games Award for Audio Achievement,https://en.wikipedia.org/wiki/British_Academy_Games_Award_for_Audio_Achievement,{},26,3,78,0.6666666666666666,121,0.5205479452054794
British Academy Games Award for British Game,https://en.wikipedia.org/wiki/British_Academy_Games_Award_for_British_Game,{},12,2,24,0.5,177,0.2807017543859649
British Academy Games Award for Game Beyond Entertainment,https://en.wikipedia.org/wiki/British_Academy_Games_Award_for_Game_Beyond_Entertainment,{},54,4,216,0.25,239,0.7263157894736841
British Academy Games Award for Game Design,https://en.wikipedia.org/wiki/British_Academy_Games_Award_for_Game_Design,{},15,3,45,0.6666666666666666,176,0.03137254901960785
British Academy Games Award for Narrative,https://en.wikipedia.org/wiki/British_Academy_Games_Award_for_Narrative,{},15,3,45,0.6666666666666666,233,0.03278688524590164
British Academy Games Award for Performer,https://en.wikipedia.org/wiki/British_Academy_Games_Award_for_Performer,{},48,4,192,0.25,656,0.8465909090909091
British Americans,https://en.wikipedia.org/wiki/British_Americans,{},52,3,156,0.3333333333333333,7058,0.33986928104575165
Broadcast to Allied Merchant Ships,https://en.wikipedia.org/wiki/Broadcast_to_Allied_Merchant_Ships,{},9,2,18,0.0,58,0.282051282051282
Bromsgrove District,https://en.wikipedia.org/wiki/Bromsgrove_District,{},22,2,44,1.0,429,0.5348837209302325
Brus,https://en.wikipedia.org/wiki/Brus,{},21,2,42,0.5,464,0.45
"Buchs, Zürich","https://en.wikipedia.org/wiki/Buchs,_Z%C3%BCrich",{},8,2,16,0.5,78,0.33333333333333337
Buffalo City Metropolitan Municipality,https://en.wikipedia.org/wiki/Buffalo_City_Metropolitan_Municipality,{},63,4,252,0.75,1748,0.4074074074074074
Buin Miandasht County,https://en.wikipedia.org/wiki/Buin_Miandasht_County,{},10,2,20,0.5,44,0.10000000000000002
Bulgaria women's national football team results,https://en.wikipedia.org/wiki/Bulgaria_women%27s_national_football_team_results,{},42,10,420,0.8,43,0.46881720430107526
Burkina Faso women's national football team results,https://en.wikipedia.org/wiki/Burkina_Faso_women%27s_national_football_team_results,{},14,10,140,0.8,17,0.5612903225806452
Bushbuckridge Local Municipality,https://en.wikipedia.org/wiki/Bushbuckridge_Local_Municipality,{},17,5,85,0.6,662,0.0756756756756757
C15orf54,https://en.wikipedia.org/wiki/C15orf54,{},20,10,200,0.6,18,0.044444444444444446
C19orf18,https://en.wikipedia.org/wiki/C19orf18,{},12,6,72,0.3333333333333333,15,0.11904761904761905
C7orf61,https://en.wikipedia.org/wiki/C7orf61,{},10,7,70,0.2857142857142857,5,0.09523809523809523
C9orf135,https://en.wikipedia.org/wiki/C9orf135,{},21,7,147,0.14285714285714285,15,0.05714285714285714
C9orf152,https://en.wikipedia.org/wiki/C9orf152,{},18,6,108,0.5,11,0.03875968992248061
CCSDS MO Services,https://en.wikipedia.org/wiki/CCSDS_MO_Services,{},9,2,18,0.0,48,0.04761904761904762
CFAP157,https://en.wikipedia.org/wiki/CFAP157,{},9,5,45,0.0,12,0.05555555555555555
CSI 300 Index,https://en.wikipedia.org/wiki/CSI_300_Index,{},300,5,1500,0.2,6516,0.3218045112781955
C Force,https://en.wikipedia.org/wiki/C_Force,{},29,2,58,0.0,369,0.12500000000000003
Caerphilly County Borough Council,https://en.wikipedia.org/wiki/Caerphilly_County_Borough_Council,{},29,4,116,0.25,296,0.7213114754098361
California Golden Bears rugby,https://en.wikipedia.org/wiki/California_Golden_Bears_rugby,{},8,4,32,0.25,556,0.65625
California locations by crime rate,https://en.wikipedia.org/wiki/California_locations_by_crime_rate,{},58,7,406,0.8571428571428571,1624,0.18719211822660098
California postmile,https://en.wikipedia.org/wiki/California_postmile,{},10,2,20,0.0,383,0.4
Call signs in Canada,https://en.wikipedia.org/wiki/Call_signs_in_Canada,{},19,7,133,0.5714285714285714,839,0.5281385281385281
Calpiogna,https://en.wikipedia.org/wiki/Calpiogna,{},10,2,20,0.5,20,0.4117647058823529
Campbell Islands,https://en.wikipedia.org/wiki/Campbell_Islands,{},14,2,28,0.0,715,0.3846153846153846
Canada and the Kyoto Protocol,https://en.wikipedia.org/wiki/Canada_and_the_Kyoto_Protocol,{},12,4,48,0.75,2113,0.24000000000000002
Canada at the 2015 Pan American Games,https://en.wikipedia.org/wiki/Canada_at_the_2015_Pan_American_Games,{},41,4,164,0.75,187,0.521978021978022
Canada at the 2015 Parapan American Games,https://en.wikipedia.org/wiki/Canada_at_the_2015_Parapan_American_Games,{},15,4,60,0.75,44,0.55
Canadian Football League attendance,https://en.wikipedia.org/wiki/Canadian_Football_League_attendance,{},21,6,126,0.3333333333333333,1039,0.2753623188405797
Cancer vaccine,https://en.wikipedia.org/wiki/Cancer_vaccine,{},10,2,20,0.0,2976,0.2857142857142857
