Name of Village,Gram Panchayat,Nearest town
Jagatpur T Ghungchahai,Jamuniya J Jagatpur,Puranpur
Jagdish Pur,Saraura,Jahanabad
Jagipur Chhitaunia,Khera,Pilibhit
Jagipur Jaitpur,Jagipur Jaitpur,Pilibhit
Jahanabad,Jahanabad Dehat,Jahanabad
Jahidganj,Biharipur J Itauria,Pilibhit
Jaipalpur,Pipria Singhipur,Bilsanda
Jairampur,Banjaria,Puranpur
Jaitpur Mustqil,Jaitpur Mustqil,Pilibhit
Jaitpur Saharai,Jaitpur Mustqil,Pilibhit
Jakandanpur,Muradpur Mati,Puranpur
Jaleshwar Urf Jagatpur,Piparia Majhara,Puranpur
Jallapur,Jallapur,Pilibhit
Jallupur,Gularia Bhoopsingh,Puranpur
Jamgahan,Udara,Gularia Bhindara
Jamlapur,Gauneri Badi,Pilibhit
Jamunia,Jamunia,Pilibhit
Jamunia Khas,Jamunia Khas,Pilibhit
Jamunia Mahua,Jamunia Mahua,Pilibhit
Jamunia T Int Gaon,Jamunia T Int Gaon,Bisalpur
Jamuniya J Jagatpur,Jamuniya J Jagatpur,Puranpur
Jangrauli Asha,Jangrauli Asha,Pilibhit
Jangrauli Pul,Jangrauli Pul,Pilibhit
Jankapur,Narainpur Ghunchai,Puranpur
Jar Kalliya,Jar Kalliya,Barkhera
Jara Bujurg,Ruriya Salempur,Pilibhit
Jara T Madho Tanda,Sisaiya,Pilibhit
Jarauli,,Pilibhit
Jari,Sisaiya,Pilibhit
Jasai Nagar,Pakria T Deoria,Bisalpur
Jasauli Diwari,Jasauli Diwari,Pilibhit
Jaswantpur,Kadher Chaura T Gajraula,Pilibhit
Jatipur,Jatipur,Pilibhit
Jatpura,Jatpura Amaria,Pilibhit
Jatpura,Jatpura,Pilibhit
Jauna Puri,Jauna Puri,Pilibhit
Jeohra Kalyanpur,Jeohra Kalyanpur,Pilibhit
Jethapur Kalan,Jethapur Khurd,Pilibhit
Jethapur Khurd,Jethapur Khurd,Pilibhit
Jhampa,Firsa Churra,Pilibhit
Jhurkuriya,Kabirpur Kasganja,Pilibhit
Jiraunia,Jiraunia,Pilibhit
Jithania,Jithania,Pilibhit
Jogi Ther,Jogi Ther,Pilibhit
Jogia Bari,Sindhaura Kharagpur,Bilsanda
Jograjpur,Jograjpur,Puranpur
Kabeerganj,Kabeerganj,Puranpur
Kabirpur Kasganja,Kabirpur Kasganja,Puranpur
Kadhaiya,Kadaiya,Puranpur
Kadher Chaura T Gajraula,Kadher Chaura T Gajraula,Pilibhit
Kahdaiya Navada,Kariya Nabada,Jahanabad
Kaichu Tanda,Kaichu Tanda,Pilibhit
Kaichua,Manpur Bisalpur,Pilibhit
Kaim,Kaim,Pilibhit
Kaima,Chahlora,Pilibhit
Kaimor,Kaimor,Majhola
Kainch,Kainch,Pilibhit
Kaithulia,Safaura,Bisalpur
Kajari Niranjanpur,Kajari Niranjanpur,Puranpur
Kakraua,Devipur,Pilibhit
Kakrauwa,,Pilibhit
Kalayanpur Naugwan,Kalayanpur Naugwan,Pilibhit
Kallia,Kallia,Nyoria Husainpur
Kallia Kuraiya,Dodpur Khallapur,Pilibhit
Kalyanpur,Kalyanpur,Puranpur
Kalyanpur Chakratirth,Kalyanpur Chakratirth,Jahanabad
Kalyanpur Khas,Kalyanpur Khas,Pilibhit
Kalyanpur Manth,Pakariya T Amariya,Bisalpur
Kalyanpur T Behti,Behti,Bilsanda
Kalyanpur T Kareli,Kalyanpur T Kareli,Bilsanda
Kanakore,Kanakore,Jahanabad
Kandharapur Ehat,Chutkuna,Bisalpur
Kandharapur Mustkil,Chutkuna,Bisalpur
Kangawan,Kangawan,Pilibhit
Kanja Haraia,Kanja Haraia,Pilibhit
Kanja Khera,Pata Bojhi,Pilibhit
Kanja Nath,Kanjanath Patti,Jahanabad
Kanjia Singhpur Bhauria,Gabhia Sahrai,Pilibhit
Kanpara,Khajuria Nibiram,Bilsanda
Kanpara,Kabirpur Kasganja,Puranpur
Kanpari,Kanpari,Bisalpur
Kapoorpur,Kapoorpur,Pilibhit
Karanpur Chak,Karanpur Chak,Bisalpur
Karanpur Layakram,Adilabad Bisalpur,Pilibhit
Kareli,Kareli,Bilsanda
Karelia,Karelia,Pilibhit
Kargaina Kargaini,Kargaina Kargaini,Jahanabad
Kargaina Peera,Kargaina Peera,Jahanabad
Karher Chaura J Puranpur,Raghunathpur,Pilibhit
Karkhera,Nagria Fatehpur Must,Pilibhit
Karmapur Mafi,Karmapur Maafi,Pilibhit
Karnaiya,Harunagar Urf Naua Nagla,Bisalpur
Karnapur,Karnapur,Barkhera
Karnapur,Karnapur,Pilibhit
Karobojh,Simraya T Ghungchihai,Pilibhit
Karod,Karod,Barkhera
Kasba Patti,Sukatia Jaskaranpur,Pilibhit
Kasimpur,Kasimpur,Bisalpur
Kastua,Muraina,Bilsanda
Kataia Pandari,Birhani,Gularia Bhindara
Kataiya,Kataiya,Pilibhit
Kataiya,Sabalpur M Rampur Fakire,Puranpur
Kataiya Islam,Kataiya Islam,Jahanabad
Katakbara,Katakbara,Bisalpur
Katakwara,Maini Gulria,Pilibhit
Katmata,Katmata,Pilibhit
Katmati,Barhepura,Sitarganj
Katpura,Bhopatpur,Pilibhit
Kauhara,Pandri Marauri,Bilsanda
Kazar Bojhi,Kazar Bojhi,Bisalpur
Keharpur J Itauria,Biharipur J Itauria,Pilibhit
Kesarpur,Balliya,Pilibhit
Kesarpur Kalan,Kesarpur Kalan,Puranpur
Kesharpur T Gajraula,Banjaria,Pilibhit
Keshopur,Prithipur,Pilibhit
Keshopur T Anandpur,Bhimpur Naugaja,Pilibhit
Keshopur T Ghunchai,Keshopur T Ghunchai,Pilibhit
Keshpur T Madhotanda,Madho Tanda,Pilibhit
Keulara,Hardaspur,Majhola
Khag,Khag,Pilibhit
Khagai,Kazar Bojhi,Pilibhit
Khai Khera,Mohanpur,Pilibhit
Khairpur T Jatpura,Tandola,Pilibhit
Khajuria,Majhara Ta Maharajpur,Pilibhit
Khajuria Nibiram,Khajuria Nibiram,Bilsanda
Khajuria Panchpera,Khajuria Panchpera,Bisalpur
Khakra,Loharpura,Pilibhit
Khakuma,Richhola Ghasi Must,Pilibhit
Khali Nabada Mustqil,Fardia,Pilibhit
Khali Navada,Fardia,Pilibhit
Khamaraia J Jagatpur,Shahbajpur,Puranpur
Khamaria Kalan,Patihan,Puranpur
Khamaria Pandri,Khamaria Pandri,Pilibhit
Khamghat,Baknia Dixit,Pilibhit
Khamria Dalelganj,Khamria Dalelganj,Jahanabad
Khamria Navdia,Nagria Fatehpur Must,Pilibhit
Khamria Patti,Khamria Patti,Pilibhit
Khamriapul,Khamriapul,Jahanabad
Khandepur,Khandepur,Bisalpur
Khandepur,Sherpur Makrandpur,Pilibhit
Khanka Uchasia,Khanka Uchasia,Bisalpur
Khanpur Chukat Hai,Ghungchihai,Pilibhit
Khanpur Urf Birampur,Khanpur Urf Birampur,Pilibhit
Kharagpur,Bithaura Khurd,Nyoria Husainpur
Kharagpur Kalan,Kharagpur Kalan,Bisalpur
Kharagpur Khurd,Parai,Pilibhit
Kharaunsa,Kharunsa,Pilibhit
Kharausa,Sherpur Makrandpur,Puranpur
Khardaha,Lamua,Pilibhit
Khardai,Khardai,Bisalpur
Kharuwa Ehatmali,Kharuwa Mustqil,Pilibhit
Kharuwa Mustqil,Kharuwa Mustqil,Pilibhit
Khaspur,Khaspur,Pilibhit
Khat Diora,Bhilaiya Gaon Khera,Pilibhit
Khat Diyura,Sukhdaspur Navadia,Pilibhit
Khata,Amraiya Kalan,Pilibhit
Khera,Khera,Pilibhit
Khijarpur,Seharmau Uttari,Pilibhit
Khiri Naubaramad,Khiri Naubaramad,Pilibhit
Khirka,Bahruwa,Pilibhit
Khirkia,Khirkia,Pilibhit
Khirkia Bargadia,Khirkiya Bargadiya,Puranpur
Khujraha,Khujraha,Pilibhit
Khundara,Khundara,Pilibhit
Khutrai,Khutraya,Bilsanda
Kiratpur T Madho Tanda,Khiri Naubaramad,Pilibhit
Kiratpur Urf Jainpur,Banjaria,Puranpur
Kishanpur,Kishanpur,Bisalpur
Kishanpur,Kallia,Nyoria Husainpur
Kishanpur Haripur,Kishanpur Haripur,Puranpur
Kishanpur Kalan,Shahbajpur,Pilibhit
Kishanpur Naugawa,Shahbajpur,Pilibhit
Kishni,Kishni,Bisalpur
Kokila,Mundia Kundri Mustaqil,Bisalpur
Kokilee,Mundia Kundri Mustaqil,Bisalpur
Kon,Rampur M Kon,Puranpur
Kuan Khera,Mahof,Pilibhit
Kukra,Himmat Nager Urf Chiraidipur,Pilibhit
Kukrikhera,Kukrikhera,Pilibhit
Kulha Garha,Sabalpur Khas,Puranpur
Kundri Dahgala,Rampuria Sirsa,Pilibhit
Kunwarpur,Saidpur,Pilibhit
Kunwarpur T Anandpur,Sandai,Pilibhit
Kunwarpur T Gajraula,,Puranpur
Kunwarpur T Ghunchai,Kalyanpur,Puranpur
Kuraiya Kalan,Kuraiya Kalan,Bisalpur
Kuraiya Khurd,Kuraiya Kalan,Bilsanda
Kuraiya Khurd Kalan,Kuraiya Khurd Kalan,Puranpur
Kuraiya Navadia,Kuraiya,Pilibhit
Kuraiya Talluka Phuta Kuwan,Kuraiya Talluka Phuta Kuwan,Pilibhit
Kurra Ehatmali,Bhaga Mohammadganj Mustqil,Pilibhit
Kurra Mustqil,Bhaga Mohammadganj Mustqil,Pilibhit
Kurri Ehatmali,Kurri Mustqil,Pilibhit
Kurri Mustqil,Kurri Mustqil,Pilibhit
Kusma,Barhepura T Kusma,Pilibhit
Kuthia Gudia,Kuthia Gudia,Puranpur
Kuthia Rate,Hatua Bijulahi,Pilibhit
Ladpur,Sirsa,Pilibhit
Ladpur,Ladpur,Pilibhit
Lagabhaga,Gabhia Sahrai,Pilibhit
Laha,Laha,Puranpur
Lahaur Ganj,Bilaspur,Pilibhit
Laihari,Maini Gulria,Pilibhit
Lakha Khas,Lakha Khas,Pilibhit
Lalauri Khera,Lalauri Khera,Pilibhit
Lalor Gujranpur,Lalor Gujranpur,Bisalpur
Lalpur,Lalpur,Pilibhit
Lalpur Amrit,Udaipur Khurd,Pilibhit
Lalpur T Madho Tanda,Lalpur T Madho Tanda,Pilibhit
Lalpuria Baurakh,Tanda Bijaisi Sahrai,Nyoria Husainpur
Lalpuria Saheb Singh,Lalpuriya Sahib,Pilibhit
Lamua,Lamua,Bisalpur
Laukahi,Luktiaayi,Puranpur
Laukha,Laukha,Pilibhit
Lilhar,Lilhar,Bilsanda
Lodhipur,Lodhipur,Puranpur
Lohanna,Simraya T Ghungchihai,Puranpur
Loharpura,Loharpura,Pilibhit
Loneha,,Pilibhit
Lucknow Kalan,Lucknow Kalan,Bisalpur
Ludh Pura,Ladhpura,Pilibhit
Luhichha,Luhichha,Bisalpur
Lukathai,Udaikaranpur,Puranpur
Maanpur Hatua,Maanpur Hatua,Pilibhit
Maanpur Kishanpur,Tah,Pilibhit
Madarpur,Ghungchihai,Puranpur
Madhaiya,Aamdar,Pilibhit
Madhaiya Urf Ramshala,Naugawa Urf Navi Nagar,Bisalpur
Madhaupur,Madhaupur,Pilibhit
Madhkarpur,Rath,Pilibhit
Madhopur,Madhopur,Pilibhit
Madhopur Kalan T Gajraula,Dharampur Khurd,Pilibhit
Madhopur Khurd T Gajraula,,Puranpur
Madhopur Khurd T Madho Tanda,Abhaipur Madhopur,Puranpur
Madhpuri,Madhpuri,Pilibhit
Madhuwa Nagri Ehatmali,Kharuwa Mustqil,Pilibhit
Madhuwa Nagri Mustqil,Kharuwa Mustqil,Pilibhit
Madhwapur,Marauri Khas,Bisalpur
Magrasa,Magrasa,Pilibhit
Mahad Khas,Mahad Khas,Pilibhit
Mahadev,,Pilibhit
Mahadewa,Mahadewa,Bisalpur
Maharajpur,Maharajpur,Pilibhit
Mahawa,Khanpur Urf Birampur,Pilibhit
Mahchandi,Mahchandi,Pilibhit
Maheshpur,Bahadia,Bisalpur
Maheshpur,Rauhatania,Pilibhit
Mahewa,Haripur Kalan,Puranpur
Mahid,,Puranpur
Mahof,Mahof,Pilibhit
Maholiya,Mohaliya,Bilsanda
Maholiya,Simra T Ghunchai,Pilibhit
Mahua Gunde,Mahua Gunde,Pilibhit
Mahuwa Mustqil,Mahua Chak Mustqil,Pilibhit
Mahuwa Sahrai,Mahua Chak Mustqil,Pilibhit
Maidana,Maidana,Nyoria Husainpur
Mainakot,Mainakot,Pilibhit
Maini,Naugawa Santosh,Bisalpur
Maini Gulria,Maini Gulria,Pilibhit
Mainpura,Bhainpura,Pilibhit
Maithi Saidulla Ganj,Maithi Saidulla Ganj,Nyoria Husainpur
Majhalia,Majhalia Mustqil,Jahanabad
Majhara,Surajpur Ehatmali,Majhola
Majhara Bagha,Majhara Ta Maharajpur,Pilibhit
Majhara T Ghunchai,Keshopur T Ghunchai,Puranpur
Majhara T Maharajpur,Majhara Ta Maharajpur,Pilibhit
Majhganwa,Tondarpur Mustqil,Majhola
Majhgawan,Majhgawan,Bilsanda
Makarandpur J Puranpur,Raghunathpur,Pilibhit
Makrandpur Chaugan,Narayanpur Bujurg,Pilibhit
Makrandpur Mafi,Chand Dandi,Pilibhit
Makrandpur Naka,Kuraiya Kalan,Bilsanda
Makrandpur Raushan Singh,Makrandpur Roshan Singh,Bisalpur
Makrandpur T Simroli,Amkhirya T Pagar,Bilsanda
Makrandpur Tapa,Parsadpur,Puranpur
Makranpur T Pipriya Dulai,Makranpur T Pipriya Dulai,Pilibhit
Mala,Mahua Chak Mustqil,Pilibhit
Malahpur Khajuria,Malahpur Khajuria,Pilibhit
Malakpur,,Pilibhit
Malin Kuiyan,Gajraula Khas,Pilibhit
Malkapur,Baknia Dixit,Bisalpur
Mallanpur,Sukatia Jaskaranpur,Bisalpur
Mandanpur Khurd,Kesarpur Kalan,Puranpur
Mandaria,Mandaria,Pilibhit
Mandra Suman,Mandra Suman,Pilibhit
Mangadpur,Mangadpur,Pilibhit
Mangadpur,,Pilibhit
Manhriya Khurd Kalan,Sherpur Makrandpur,Pilibhit
Mania,Mania,Pilibhit
Maniharia,,Pilibhit
Mankapur,Mankapur,Pilibhit
Manpur,Lalpur,Pilibhit
Manpur Bisalpur,Manpur Bisalpur,Pilibhit
Manpur Jalalpur,Mania,Bisalpur
Manpur Marori,Manpur Marori,Pilibhit
Manpur T Madho Tanda,Shahgarh,Pilibhit
Manpur Tilhar,Gabhia Sahrai,Pilibhit
Manpura,,Bisalpur
Maqtul,Maqtul,Pilibhit
Mar,Mar,Bilsanda
Marauri Khas,Marauri Khas,Pilibhit
Marha Khurd Kalan,Marha Khurd Kalan,Puranpur
Marori Mustqil,Marori Mustqil,Pilibhit
Marori Sahraee,Marori Mustqil,Pilibhit
Maseet,Maseet,Pilibhit
Mataina,Gulenda Gautia,Pilibhit
Mataiya Lalpur,Mataiya Lalpur,Pilibhit
Matena T Ghungchihai,,Puranpur
Mathna Jabti,Mathna Jabti,Pilibhit
Mathu Dandi Ehatmali,Mathu Dandi Mustqil,Pilibhit
Mathu Dandi Mustqil,Mathu Dandi Mustqil,Pilibhit
Mati Mafi,Mahadev Mati,Pilibhit
Mawaiya,Mawaiya,Pilibhit
Meerapur Ehatmali,Siya Bari Patti,Pilibhit
Meerapur Mustqil,Siya Bari Patti,Pilibhit
Meerpur,Gauhania Marori,Pilibhit
Meerpur Girand,Meerpur Girand,Pilibhit
Meghpur,Dilawarpur,Puranpur
Mewatpura Urf Sherganj,Maithi Saidulla Ganj,Nyoria Husainpur
Mighai,Ladpur,Pilibhit
Mighauna,Mighauna,Pilibhit
Milak Gautia,Amrita Khas,Bisalpur
Mintarpur,Sidhaura Bindhuwa,Pilibhit
Mirapur,Meerapur Mustqil,Pilibhit
Mirpur Bahanpur,Mirpur Bahanpur,Pilibhit
Mirpur Dhakriya,Firsa Churra,Pilibhit
Mirpur Hamupura,Mirpur Hamupura,Pilibhit
Mirpur Harraipur,Mirpur Harraipur,Bisalpur
Mirpur Hirpur,Rampur Basant,Bisalpur
Mirpur Ratanpur,Jamunia Mahua,Bisalpur
Mirpur Udel,Painiya Himmat,Pilibhit
Mitepur,Parewa Ta Kisni,Pilibhit
Mitnapur,,Pilibhit
Mitrasenpur,Simria Tarachandra,Pilibhit
Mohammadganj Amkharia,Nawada Mahesh,Bisalpur
Mohammadganj Rampura,Khajuria Panchpera,Bisalpur
Mohammadganj Urf Peeratal,Himmat Nager Urf Chiraidipur,Pilibhit
Mohammadpur Bhaja,Mohammadpur Bhaja,Pilibhit
Mohammadpur J Bhaipur,Pipria Jaibhadra,Pilibhit
Mohammadpur J Kulhagarha,Banjaria,Puranpur
Mohammadpur T Kareli,Kalyanpur T Kareli,Bilsanda
Mohammadpur T Kishanpur,Ilahbaasdewal,Pilibhit
Mohammadpur T Rampur Amrit,Bakainia T Rampur Amrit,Bilsanda
Mohanpur,Udara,Gularia Bhindara
Mohanpur Jabti,Mohanpur Jabti,Pilibhit
Mohanpur T Ghunchai,,Puranpur
Mohanpur T Madho Tanda,Devipur,Pilibhit
Mohbbatpur,Narainpur Ghunchai,Pilibhit
Mohof Forest,,Pilibhit
Mosepur Kalan,Mosepur Kalan,Pilibhit
Mud Gawan,Mudigawan,Pilibhit
Muda Semnagar Urf Pandri,Muda Semnagar Urf Pandri,Pilibhit
Mudalia Ilahi Baksh,Tumria,Pilibhit
Mudia Ramkishan,Igdhara,Pilibhit
Mudia Ratanpuri,Mudiya Ratanpuri,Pilibhit
Mudlia Gausu,Mudlia Gausu,Pilibhit
Mudsena Bakshpur,Mudsena Baksh,Pilibhit
Mudsena Madari,Mudsena Madari,Jahanabad
Mugla Khera,Mugla Khera,Jahanabad
Mujaffar Nagar,Mujaffar Nagar,Puranpur
Mujha Kalan,Raghunathpur,Puranpur
Mujha Khurd,Mujha Khurd,Pilibhit
Mundela Kalan Mustqil,Mundela Kalan Mustqil,Pilibhit
Mundela Kalan Saharai,Mundela Kalan Mustqil,Pilibhit
Mundela Khurd Mustqil,Mundela Kalan Mustqil,Pilibhit
Mundela Khurd Saharai,Mundela Kalan Mustqil,Pilibhit
Mundia Bhagawantpur,Bhgautipur,Bisalpur
Mundia Bilhara,Mundia Bilhara,Bilsanda
Mundia Hulas,Mundia Hulas,Pilibhit
Mundia J Pirria Dulai,Makranpur T Pipriya Dulai,Pilibhit
Mundia Karor,Mandra Suman,Bisalpur
Mundia Kundri Ehatmali,,Pilibhit
Mundia Kundri Mustaqil,Mundia Kundri Mustaqil,Pilibhit
Mundia T Pasgawan,Mundia T Pasgawan,Pilibhit
Muradpur,Muradpur Mati,Puranpur
Muraina,Muraina,Pilibhit
Murainia Gandhi Nagar,,Puranpur
Murlo Khera,Bilandpur Ashok,Puranpur
Musaili Mustqil,Musaili Mustqil,Pilibhit
Musakoni,Katmata,Gularia Bhindara
Musali Ehat,Musaili Mustqil,Bisalpur
Musepur,Maini Gulria,Pilibhit
Musepur Jaisingh,Museypur Jay Singh,Pilibhit
Musepur Khurd,Mosepur Kalan,Pilibhit
Musraha,Musraha,Pilibhit
Mustafabad,Mainakot,Pilibhit
Nachan,Navadia Durjanpur,Puranpur
Nachni Ghat,Nadha T Madho Tanda,Pilibhit
Nad,Naand,Bilsanda
Nadha T Gajraula,Rampur M Kon,Puranpur
Nadha T Madho Tanda,Nadha T Madho Tanda,Pilibhit
Nagariya Tilagiri,Nagariya Tulagiri,Bilsanda
Nagfan Rasoiya,Kanja Haraia,Pilibhit
Nagipur Akhola,Nagipur Akhola,Pilibhit
Nagra Fiza,Nagra Fiza,Bisalpur
Nagra Rata,Nagra Rata,Bisalpur
Nagra Ta Musepur,Agyari,Pilibhit
Nagria,Nagria Mustqil,Pilibhit
Nagria Fatehpur Ehat,,Bisalpur
Nagria Fatehpur Must,Nagria Fatehpur Must,Bisalpur
Nagria Khurd Kalan,Nagria Khurd Kalan,Pilibhit
Nahua,,Pilibhit
Nakatia,Nakatiya,Pilibhit
Nakta Urf Muradabad,Galra Machwapur,Pilibhit
Nand Pasiapur,Nand Pasiapur,Lalauri Khera
Nand Simaria,Dandia Bhasaudi,Pilibhit
Nara Soha,Baijunagar,Puranpur
Narainpur Govindpur,Chatipur,Puranpur
Narainpur J Puranpur,Narainpur Ja Puranpur,Puranpur
Naraur,Rampur T Mahrajpur,Puranpur
Narayan Dher,Narayan Dher,Pilibhit
Narayanpur,Narayanpur,Pilibhit
Narayanpur Bujurg,Narayanpur Bujurg,Pilibhit
Narayanpur T Ghunchai,Narainpur Ghunchai,Pilibhit
Nasrullahpur,Hafiznagar Banhai,Bisalpur
Naugawa Santosh,Naugawa Santosh,Bisalpur
Naugawa Urf Navi Nagar,Naugawa Urf Navi Nagar,Pilibhit
Naugawan Ambar,Naugwan Amber,Pilibhit
Naugawan M Mujaffar Nagar,Jadaupur,Puranpur
Naugawan T Chandpur,Navadia Durjanpur,Pilibhit
Naugma M Mohammadpur,Banjaria,Puranpur
Naujalha Naktaha,Naujalha Naktaha,Pilibhit
Naurangabad,Tanda Gulabrai,Pilibhit
Navada Kadhaiya,Bindua,Jahanabad
Navada Kishandas,Khundara,Pilibhit
Navada Shyampur,Navada Shyampur,Pilibhit
Navadia Dahla,Nabadiya Dahla,Pilibhit
Navadia Durjanpur,,Pilibhit
Navadia J Sabalpur Khas,Sabalpur Khas,Puranpur
Navadia Jithnia,Tirkunia Nasir,Pilibhit
Navadia Kuraiya,Banausa,Pilibhit
Navadia Lachhan,Marha Khurd Kalan,Pilibhit
Navadia M Mujaffar Nagar,Mujaffar Nagar,Puranpur
Navadia Nadi Kinara Jukna,Haripur Kalan,Puranpur
Navadia Sharifganj Ahatmali,Mathu Dandi Mustqil,Pilibhit
Navadia Sharifganj Mustqil,Mathu Dandi Mustqil,Pilibhit
Navadia Todarpur,Haripur M Phulhar,Pilibhit
Navdia Dhanesh,Navdia Dhanesh,Pilibhit
Navdia Gheesi,Khag,Pilibhit
Navdia M Shivnagar,Shiv Nagar,Puranpur
Navdia Maksudpur,Rampur Fakire,Pilibhit
Navdia Must Tanda Chhatrapati,Pata Bojhi,Pilibhit
Navdia Sultanpur,Udaikaranpur,Pilibhit
Nawada Das,Nawada Daas,Pilibhit
Nawada Kanja,Nawada Kanja,Jahanabad
Nawada Khushali,Dhakia Natha,Pilibhit
Nawada Mahesh,Nawada Mahesh,Pilibhit
Nawadia Baljeet,Khandepur,Bisalpur
Nawadia Bhagat,Mohammadpur Bhaja,Pilibhit
Nawadia Munjapta Kalan,Pazawa,Pilibhit
Nawadia Visem,Nawada Daas,Pilibhit
Nawadyia Marouri,Nabadiya Marori,Bilsanda
Nawajpur T Chandpur,Mahadev Mati,Pilibhit
Nawkoond Ehatmali,Nawkoond Mustqil,Pilibhit
Nawkoond Mustqil,Nawkoond Mustqil,Pilibhit
Nehrosa,Nehrosa,Puranpur
Nihalpur,Niwar Aithpur Mustqil,Pilibhit
Nirottam Nagla,Sukatia Jaskaranpur,Pilibhit
Nisawa Nisaiya,Nisawa Nisaiya,Sitarganj
Nisra,Nisra,Pilibhit
Niwa Dandi,Sukatia Jaskaranpur,Bisalpur
Niwar Aithpur,Niwar Aithpur Mustqil,Pilibhit
Nizam Dandi,Nizam Dandi,Jahanabad
Nizampur Urf Lah,Nizampur Urf Lah,Pilibhit
Noorpur,Noorpur,Pilibhit
Nua Nagla,Nauya Nagla,Pilibhit
Nuranpur,Nuranpur,Pilibhit
Nyoria Husainpur,Nyoria Husainpur,Pilibhit
Nyoria,Malahpur Khajuria,Pilibhit
Nyoria Husainpur Khurd,Nyoria Husainpur Khurd,Nyoria Husainpur
Nyoria Husainpur Must,Neoriya Hussainpur Da Mu,Pilibhit
Nyoria Husainpur Sahrai,Nyoria Husainpur,Pilibhit
Nyoria Husainpur Sumali Sahra,Neoriya Hussainpur Uttar Mu,Pilibhit
Ora Jhar,Ora Jhar,Pilibhit
Orha Jhar,Mathna Jabti,Pilibhit
Pachpera Garha,Nadha T Madho Tanda,Pilibhit
Pachpera Prahladpur,Udaikaranpur,Pilibhit
Pachpera T Maharajpur,Simra T Maharajpur,Pilibhit
Pachpera Talluka Shahpura,Pachpera Talluka Shahpura,Bisalpur
Pachperakhurd M Ranpurfakire,Sabalpur M Rampur Fakire,Pilibhit
Pachtaur,Dinarpur,Jahanabad
Pachtor Kuian,Pachtor Kuian,Bisalpur
Paharganj,Paharganj,Pilibhit
Painiya Himmat,Painiya Himmat,Pilibhit
Painiya Ramkishan,Painiya Ramkishan,Pilibhit
Paint Bojhi,Paintbhojhi,Bisalpur
Pakaria Vijaypur,Bhindara,Pilibhit
Pakria Bindhua,Sangawan,Bisalpur
Pakria Mangli,Pakria Mangli,Pilibhit
Pakria Naugwan Ehatmali,Pakriya Naugwan Mustqil,Pilibhit
Pakria T Deoria,Pakria T Deoria,Duforiya Kalan
Pakria T Umraiya,Pakariya T Amariya,Pilibhit
Pakriya Naugwan Mustqil,Pakriya Naugwan Mustqil,Pilibhit
Palia,Dhuria Paliya,Pilibhit
Paliya Mafi,Bakainia Talluka Mahad,Pilibhit
Panchpera Purna,Panchpera Purna,Pilibhit
Pandara Kishandas,Katmata,Majhola
Pandara Ramdas,Katmata,Pilibhit
Pandari,Pandari,Pilibhit
Pandra Urf Devipur,Baijunagar,Puranpur
Pandri,Ghungchihai,Pilibhit
Pandri Katala,Birhani,Gularia Bhindara
Pandri Khamria,Pandri Khamria,Pilibhit
Pandri Marauri,Pandri Marauri,Bilsanda
Pandria,Pandria,Puranpur
Panjaba,Sherpur Kalan,Puranpur
Pansoli Ehatmali,Pansoli Mustqil,Pilibhit
Pansoli Mustqil,Pansoli Mustqil,Pilibhit
Parai,Parai,Pilibhit
Parasi Urf Parasia,Parasi Urf Parasia,Bisalpur
Parasiram Kishan,Parasiram Kishan,Bisalpur
Parasrampur,Madho Tanda,Pilibhit
Parewa Anup,Parewa Anup,Bisalpur
Parewa T Kishni,Parewa Ta Kisni,Pilibhit
Parewa Turrha,Parewa Turrha,Bisalpur
Parewa Vaishya,Parewa Vaishya,Pilibhit
Parsadpur,Parsadpur,Puranpur
Parsandi,Parsaandi,Pilibhit
Pasgawan,Pasgawan,Bilsanda
Pasiyapur,Rath,Bisalpur
Pata Bojhi,Pata Bojhi,Pilibhit
Patia Khurd,,Pilibhit
Patihan,Patihan,Puranpur
Patljia,Sindhaura Kharagpur,Bilsanda
Patniya,Patniya,Bisalpur
Patrasa Kunwarpur,Patrasa Kunwarpur,Pilibhit
Patrasia,Patrasia,Bisalpur
Paur Khas,Shahgarh,Pilibhit
Pauta,Kargaina Peera,Jahanabad
Pauta Kalan,Pauta Kalan,Pilibhit
Pauta Khurd,Tah,Pilibhit
Pazawa,Pazawa,Pilibhit
Phirsah Churrah,Firsa Churra,Pilibhit
Phulaiya,Fulaieya,Jahanabad
Phulhar,Phulhar,Nyoria Husainpur
Phulhar,,Pilibhit
Phuta Kuwan,Kuraiya Talluka Phuta Kuwan,Pilibhit
Pilibhit Ehatmali,,Pilibhit
Pilibhit Kohna,Dioni Kesharpur,Pilibhit
Pinjra Vamanpuri,Pinjra Vamanpuri,Pilibhit
Pipar Gehna,Pipar Gehna,Pilibhit
Piparia Bhaja,Piparia Bhaja,Pilibhit
Piparia Majhara,Piparia Majhara,Puranpur
Piparia T Chandpur,Kesarpur Kalan,Puranpur
Pipra Bale,Pipra Bale,Pilibhit
Pipra Bhagu,Pipra Bale,Pilibhit
Pipra Khas,Pipra Khas,Pilibhit
Pipra Munjapta,Pipra Munjapta,Pilibhit
Pipria Agru,Pipria Agru,Pilibhit
Pipria Darod Giran,Pipria Jaibhadra,Puranpur
Pipria Jaibhadra,Pipria Jaibhadra,Puranpur
Pipria Karam,Pipria Karam,Pilibhit
Pipria Lala,Bilhari,Puranpur
